code,value
AT,110.7
AT1,174.0
AT11,79.7
AT111,54.4
AT112,100.8
AT113,67.9
AT12,91.0
AT121,75.9
AT122,79.7
AT123,132.8
AT124,47.5
AT125,53.4
AT126,129.5
AT127,245.9
AT13,5035.2
AT130,5035.2
AT2,71.7
AT21,60.8
AT211,151.8
AT212,30.5
AT213,44.4
AT22,78.0
AT221,386.7
AT222,24.3
AT223,49.5
AT224,81.8
AT225,88.4
AT226,32.5
AT3,97.0
AT31,130.3
AT311,107.0
AT312,360.0
AT313,81.5
AT314,71.5
AT315,102.4
AT32,80.8
AT321,20.2
AT322,39.7
AT323,223.4
AT33,61.9
AT331,27.8
AT332,152.6
AT333,24.4
AT334,32.7
AT335,67.9
AT34,161.3
AT341,51.1
AT342,462.4
BE,386.8
BE1,7770.2
BE10,7770.2
BE100,7770.2
BE2,507.4
BE21,686.3
BE211,1132.1
BE212,718.7
BE213,356.1
BE22,377.0
BE223,334.3
BE23,528.3
BE231,642.3
BE232,610.8
BE233,267.2
BE234,613.7
BE235,302.3
BE236,573.3
BE24,564.3
BE241,705.1
BE242,450.0
BE25,389.0
BE251,439.9
BE252,144.3
BE253,195.9
BE254,742.2
BE255,547.9
BE256,580.3
BE257,287.8
BE258,223.8
BE3,219.9
BE31,378.0
BE310,378.0
BE32,358.6
BE323,447.0
BE33,293.0
BE331,176.5
BE332,804.4
BE334,215.6
BE335,183.0
BE336,94.7
BE34,66.8
BE341,207.3
BE342,49.5
BE343,61.4
BE344,48.8
BE345,71.0
BE35,138.5
BE351,71.9
BE352,279.3
BE353,75.0
BG,58.6
BG3,46.2
BG31,35.4
BG311,24.2
BG312,32.3
BG313,41.4
BG314,47.9
BG315,27.3
BG32,46.6
BG321,43.9
BG322,47.3
BG323,67.2
BG324,41.9
BG325,34.0
BG33,56.7
BG331,114.5
BG332,31.2
BG333,44.4
BG334,35.6
BG34,48.5
BG341,50.0
BG342,48.4
BG343,32.0
BG344,57.1
BG4,78.4
BG41,99.8
BG411,982.9
BG412,32.2
BG413,44.7
BG414,46.8
BG415,35.5
BG42,58.9
BG421,107.1
BG422,37.9
BG423,51.4
BG424,29.1
BG425,45.7
CH,223.0
CH0,223.0
CH01,208.2
CH011,297.3
CH012,69.6
CH013,2136.9
CH02,198.1
CH021,181.6
CH022,212.7
CH023,362.1
CH024,248.2
CH025,88.4
CH03,627.8
CH031,5511.3
CH032,574.9
CH033,520.3
CH04,963.0
CH040,963.0
CH05,108.8
CH051,61.8
CH052,291.1
CH053,231.0
CH054,95.9
CH055,272.5
CH056,28.8
CH057,340.0
CH06,199.4
CH061,300.3
CH062,35.7
CH063,197.1
CH064,81.6
CH065,185.6
CH066,633.9
CH07,130.2
CH070,130.2
CY,104.0
CY0,104.0
CY00,104.0
CY000,104.0
CZ,140.7
CZ0,140.7
CZ01,2826.9
CZ010,2826.9
CZ02,135.1
CZ020,135.1
CZ03,73.7
CZ031,68.0
CZ032,81.0
CZ04,130.5
CZ041,90.8
CZ042,155.1
CZ05,125.3
CZ051,144.4
CZ052,118.8
CZ053,118.9
CZ06,126.8
CZ063,77.4
CZ064,173.8
CZ07,133.0
CZ071,121.3
CZ072,148.5
CZ08,223.8
CZ080,223.8
DE,235.8
DE1,316.8
DE11,393.8
DE111,2973.7
DE112,635.6
DE113,834.2
DE114,402.3
DE115,778.8
DE116,511.8
DE117,1307.9
DE118,321.0
DE119,147.9
DE11A,134.5
DE11B,102.2
DE11C,215.3
DE11D,209.8
DE12,413.7
DE121,405.1
DE122,1819.0
DE123,425.8
DE124,319.5
DE125,1447.4
DE126,2254.3
DE127,129.4
DE128,528.5
DE129,1372.4
DE12A,201.6
DE12B,347.4
DE12C,140.0
DE13,249.7
DE131,1540.0
DE132,198.2
DE133,249.2
DE134,239.9
DE135,182.3
DE136,208.1
DE137,196.6
DE138,377.3
DE139,294.6
DE13A,152.4
DE14,218.2
DE141,267.7
DE142,447.8
DE143,210.3
DE144,1079.5
DE145,148.3
DE146,146.5
DE147,494.2
DE148,177.2
DE149,110.5
DE2,188.0
DE21,274.4
DE211,1068.5
DE212,4805.2
DE213,1731.0
DE214,200.1
DE215,125.9
DE216,119.3
DE217,262.1
DE218,260.7
DE219,111.2
DE21A,159.9
DE21B,229.0
DE21C,497.0
DE21D,89.3
DE21E,160.6
DE21F,113.2
DE21G,150.8
DE21H,534.1
DE21I,134.4
DE21J,171.1
DE21K,180.8
DE21L,326.4
DE21M,118.5
DE21N,143.8
DE22,121.7
DE221,1041.5
DE222,809.7
DE223,726.7
DE224,141.9
DE225,79.6
DE226,118.2
DE227,119.7
DE228,127.7
DE229,79.6
DE22A,94.3
DE22B,86.8
DE22C,114.8
DE23,115.3
DE231,843.0
DE232,1880.8
DE233,596.3
DE234,82.8
DE235,84.3
DE236,102.3
DE237,67.5
DE238,139.7
DE239,102.5
DE23A,67.2
DE24,146.0
DE241,1359.0
DE242,1087.6
DE243,849.2
DE244,812.6
DE245,127.2
DE246,81.0
DE247,143.1
DE248,180.5
DE249,104.1
DE24A,99.9
DE24B,108.8
DE24C,130.7
DE24D,117.1
DE25,247.7
DE251,396.5
DE252,1508.1
DE253,2085.5
DE254,2838.8
DE255,997.6
DE256,94.8
DE257,247.8
DE258,383.1
DE259,211.5
DE25A,79.5
DE25B,143.6
DE25C,98.9
DE26,154.5
DE261,1185.3
DE262,1535.4
DE263,1511.7
DE264,245.7
DE265,90.8
DE266,77.6
DE267,87.8
DE268,133.5
DE269,179.3
DE26A,95.6
DE26B,136.7
DE26C,166.0
DE27,193.4
DE271,2026.1
DE272,1144.1
DE273,1041.0
DE274,626.7
DE275,174.5
DE276,243.4
DE277,125.6
DE278,170.4
DE279,354.4
DE27A,288.9
DE27B,102.6
DE27C,117.6
DE27D,105.9
DE27E,100.7
DE3,4311.6
DE30,4311.6
DE300,4311.6
DE4,87.9
DE40,87.9
DE401,376.4
DE402,572.8
DE403,394.1
DE404,1073.9
DE405,134.0
DE406,80.2
