code,value
AL,-143.9
AL0,-143.9
AL01,-177.0
AL011,1.2
AL012,-248.9
AL013,-148.6
AL014,-146.6
AL015,-209.8
AL02,-174.1
AL021,-89.2
AL022,-198.5
AL03,-72.4
AL031,231.0
AL032,-130.3
AL033,110.2
AL034,-116.5
AL035,-228.8
AT,5.9
AT1,7.4
AT11,2.3
AT111,1.7
AT112,3.4
AT113,0.8
AT12,3.1
AT121,2.0
AT122,2.6
AT123,8.8
AT124,-2.8
AT125,-0.5
AT126,5.5
AT127,4.3
AT13,11.9
AT130,11.9
AT2,2.9
AT21,1.3
AT211,4.0
AT212,-2.0
AT213,-1.3
AT22,3.6
AT221,12.0
AT222,-1.9
AT223,-7.7
AT224,-0.4
AT225,4.2
AT226,-3.3
AT3,5.8
AT31,4.9
AT311,6.1
AT312,6.7
AT313,3.8
AT314,2.9
AT315,1.3
AT32,5.5
AT321,2.2
AT322,6.6
AT323,5.2
AT33,6.0
AT331,7.5
AT332,7.0
AT333,-0.3
AT334,3.3
AT335,7.0
AT34,8.8
AT341,7.5
AT342,9.1
BE,6.3
BE1,8.9
BE10,8.9
BE100,8.9
BE2,7.5
BE21,8.8
BE211,9.3
BE212,9.0
BE213,7.6
BE22,6.3
BE223,6.3
BE224,6.9
BE225,5.4
BE23,7.4
BE231,9.2
BE232,6.4
BE233,7.5
BE234,6.2
BE235,6.2
BE236,9.4
BE24,8.1
BE241,8.1
BE242,8.0
BE25,5.7
BE251,3.7
BE252,1.5
BE253,3.2
BE254,9.0
BE255,5.4
BE256,9.9
BE257,4.9
BE258,-2.2
BE3,3.3
BE31,3.1
BE310,3.1
BE32,2.6
BE323,0.8
BE328,3.3
BE329,-1.2
BE32A,2.5
BE32B,3.4
BE32C,8.7
BE32D,1.0
BE33,4.1
BE331,1.3
BE332,4.8
BE334,3.0
BE335,4.8
BE336,2.0
BE34,3.5
BE341,6.6
BE342,4.8
BE343,2.1
BE344,3.4
BE345,0.1
BE35,3.4
BE351,1.6
BE352,4.2
BE353,2.4
BG,-0.3
BG3,-2.7
BG31,-11.2
BG311,-13.6
BG312,-14.3
BG313,-8.5
BG314,-11.2
BG315,-10.0
BG32,-8.7
BG321,-8.9
BG322,-11.5
BG323,-9.5
BG324,-4.1
BG325,-9.2
BG33,2.7
BG331,7.7
BG332,-3.9
BG333,0.5
BG334,-6.2
BG34,2.9
BG341,15.3
BG342,-3.1
BG343,-9.9
BG344,-5.2
BG4,1.9
BG41,1.3
BG411,5.2
BG412,-5.2
BG413,-3.8
BG414,-6.4
BG415,-9.5
BG42,2.8
BG421,3.3
BG422,-1.6
BG423,-4.2
BG424,-13.4
BG425,28.0
CH,16.5
CH0,16.5
CH01,20.0
CH011,18.4
CH012,23.7
CH013,19.8
CH02,13.5
CH021,11.4
CH022,20.9
CH023,15.6
CH024,9.7
CH025,9.2
CH03,19.2
CH031,16.4
CH032,14.9
CH033,21.8
CH04,16.0
CH040,16.0
CH05,16.7
CH051,14.0
CH052,22.0
CH053,13.1
CH054,10.2
CH055,17.2
CH056,11.5
CH057,19.0
CH06,16.0
CH061,18.4
CH062,16.3
CH063,14.9
CH064,14.7
CH065,13.3
CH066,10.6
CH07,10.4
CH070,10.4
CY,18.0
CY0,18.0
CY00,18.0
CY000,18.0
CZ,6.7
CZ0,6.7
CZ01,20.0
CZ010,20.0
CZ02,11.4
CZ020,11.4
CZ03,8.1
CZ031,3.4
CZ032,13.1
CZ04,0.3
CZ041,5.0
CZ042,-1.4
CZ05,3.3
CZ051,3.4
CZ052,3.0
CZ053,3.4
CZ06,7.3
CZ063,6.2
CZ064,7.8
CZ07,1.1
CZ071,1.7
CZ072,0.4
CZ08,-0.4
CZ080,-0.4
DE,4.1
DE1,5.6
DE11,5.3
DE111,1.7
DE112,7.4
DE113,4.8
DE114,7.6
DE115,5.1
DE116,4.6
DE117,13.2
DE118,6.3
DE119,6.8
DE11A,9.8
DE11B,5.0
DE11C,3.5
DE11D,2.9
DE12,4.3
DE121,7.7
DE122,5.1
DE123,4.3
DE124,2.8
DE125,3.9
DE126,4.1
DE127,4.4
DE128,2.7
DE129,8.9
DE12A,6.5
DE12B,4.7
DE12C,3.7
DE13,6.8
DE131,5.2
DE132,8.7
DE133,8.7
DE134,6.1
DE135,2.7
DE136,7.6
DE137,8.9
DE138,6.1
DE139,8.3
DE13A,5.9
DE14,6.8
DE141,7.0
DE142,8.2
DE143,3.2
DE144,8.3
DE145,7.3
DE146,8.3
DE147,7.1
DE148,8.1
DE149,1.9
DE2,5.4
DE21,4.5
DE211,9.2
DE212,-1.2
DE213,12.7
DE214,6.4
DE215,7.0
DE216,5.6
DE217,5.8
DE218,5.7
DE219,7.6
DE21A,6.5
DE21B,10.8
DE21C,6.5
DE21D,1.1
DE21E,10.9
DE21F,1.8
DE21G,7.8
DE21H,7.8
DE21I,11.9
DE21J,7.4
DE21K,5.9
DE21L,3.2
DE21M,6.0
DE21N,9.0
DE22,6.0
DE221,0.0
DE222,10.1
DE223,12.1
DE224,8.7
DE225,4.6
DE226,7.4
DE227,5.7
DE228,5.1
DE229,-0.8
DE22A,5.1
DE22B,4.0
DE22C,12.2
DE23,7.5
DE231,3.3
DE232,14.5
DE233,4.2
DE234,4.9
DE235,6.1
DE236,9.5
DE237,4.9
DE238,11.2
DE239,4.8
DE23A,-0.2
DE24,3.7
DE241,9.1
DE242,5.7
DE243,7.1
DE244,7.2
DE245,5.1
DE246,1.6
DE247,2.1
DE248,7.1
DE249,-2.5
DE24A,-1.2
DE24B,4.4
DE24C,3.7
DE24D,-0.1
DE25,4.9
DE251,2.6
DE252,12.2
DE253,5.0
DE254,5.5
DE255,4.4
DE256,5.3
DE257,4.3
DE258,0.1
DE259,2.0
DE25A,4.1
