code,value
AL,44.3
AL0,44.3
AL01,43.5
AL011,42.0
AL012,42.5
AL013,38.5
AL014,45.7
AL015,46.8
AL02,40.5
AL021,46.0
AL022,39.1
AL03,50.4
AL031,49.4
AL032,50.8
AL033,54.2
AL034,48.7
AL035,51.0
AT,43.8
AT1,43.0
AT11,49.2
AT111,51.1
AT112,47.8
AT113,50.8
AT12,46.2
AT121,44.3
AT122,45.7
AT123,44.8
AT124,48.9
AT125,48.7
AT126,46.2
AT127,46.2
AT13,39.7
AT130,39.7
AT2,46.3
AT21,48.0
AT211,47.1
AT212,49.5
AT213,48.5
AT22,45.6
AT221,41.3
AT222,48.7
AT223,49.9
AT224,47.4
AT225,48.1
AT226,49.2
AT3,43.6
AT31,43.7
AT311,44.0
AT312,42.6
AT313,44.0
AT314,45.0
AT315,45.0
AT32,43.9
AT321,47.1
AT322,44.4
AT323,43.5
AT33,43.6
AT331,46.1
AT332,42.5
AT333,46.8
AT334,43.3
AT335,44.3
AT34,42.7
AT341,43.5
AT342,42.5
BE,42.1
BE1,36.1
BE10,36.1
BE100,36.1
BE2,43.4
BE21,42.0
BE211,40.5
BE212,43.2
BE213,44.8
BE22,45.1
BE223,45.8
BE224,44.7
BE225,45.2
BE23,42.8
BE231,43.9
BE232,44.2
BE233,45.1
BE234,41.2
BE235,44.5
BE236,42.5
BE24,42.5
BE241,41.8
BE242,43.4
BE25,46.0
BE251,48.4
BE252,44.2
BE253,44.4
BE254,43.0
BE255,50.5
BE256,42.9
BE257,43.8
BE258,57.2
BE3,42.1
BE31,43.3
BE310,43.3
BE32,42.1
BE323,42.0
BE328,42.5
BE329,42.3
BE32A,43.6
BE32B,40.9
BE32C,42.1
BE32D,44.3
BE33,41.8
BE331,42.5
BE332,41.2
BE334,43.4
BE335,41.8
BE336,44.0
BE34,40.6
BE341,39.5
BE342,39.1
BE343,42.8
BE344,40.6
BE345,41.2
BE35,42.3
BE351,43.2
BE352,41.6
BE353,44.4
BG,47.2
BG3,48.7
BG31,50.7
BG311,53.2
BG312,51.1
BG313,49.1
BG314,50.7
BG315,50.8
BG32,50.7
BG321,50.0
BG322,52.5
BG323,50.2
BG324,50.3
BG325,51.7
BG33,47.4
BG331,45.3
BG332,50.9
BG333,49.4
BG334,49.7
BG34,47.1
BG341,46.9
BG342,44.6
BG343,49.3
BG344,47.8
BG4,46.0
BG41,44.9
BG411,43.1
BG412,47.8
BG413,46.9
BG414,49.4
BG415,51.5
BG42,47.8
BG421,45.7
BG422,48.9
BG423,48.5
BG424,53.5
BG425,51.2
CH,42.9
CH0,42.9
CH01,41.3
CH011,40.5
CH012,43.8
CH013,41.0
CH02,43.9
CH021,44.8
CH022,40.9
CH023,44.4
CH024,42.9
CH025,45.1
CH03,43.6
CH031,42.2
CH032,46.3
CH033,43.0
CH04,41.4
CH040,41.4
CH05,43.6
CH051,44.4
CH052,44.7
CH053,44.9
CH054,44.3
CH055,42.3
CH056,46.9
CH057,43.2
CH06,43.5
CH061,42.3
CH062,45.2
CH063,45.0
CH064,45.2
CH065,47.1
CH066,44.0
CH07,48.2
CH070,48.2
CY,41.0
CY0,41.0
CY00,41.0
CY000,41.0
CZ,44.2
CZ0,44.2
CZ01,41.9
CZ010,41.9
CZ02,43.1
CZ020,43.1
CZ03,44.7
CZ031,45.1
CZ032,44.3
CZ04,45.1
CZ041,45.7
CZ042,44.8
CZ05,44.9
CZ051,44.6
CZ052,45.5
CZ053,44.5
CZ06,44.2
CZ063,45.0
CZ064,43.8
CZ07,45.6
CZ071,45.4
CZ072,45.8
CZ08,45.4
CZ080,45.4
DE,45.5
DE1,44.2
DE11,44.0
DE111,40.6
DE112,44.0
DE113,44.7
DE114,45.5
DE115,44.3
DE116,45.6
DE117,40.7
DE118,44.4
DE119,44.6
DE11A,44.0
DE11B,47.7
DE11C,45.5
DE11D,45.2
DE12,44.4
DE121,49.8
DE122,41.1
DE123,46.3
DE124,47.0
DE125,35.8
DE126,40.9
DE127,47.3
DE128,46.4
DE129,41.7
DE12A,45.7
DE12B,46.2
DE12C,45.7
DE13,44.4
DE131,37.9
DE132,46.2
DE133,45.8
DE134,45.5
DE135,45.6
DE136,45.3
DE137,43.4
DE138,44.4
DE139,45.1
DE13A,45.5
DE14,44.2
DE141,45.0
DE142,40.6
DE143,46.5
DE144,40.3
DE145,44.1
DE146,43.7
DE147,47.1
DE148,44.3
DE149,45.8
DE2,44.7
DE21,43.3
DE211,40.9
DE212,39.7
DE213,42.2
DE214,45.7
DE215,46.6
DE216,46.2
DE217,44.3
DE218,44.6
DE219,43.4
DE21A,44.2
DE21B,42.1
DE21C,45.6
DE21D,49.0
DE21E,46.5
DE21F,47.9
DE21G,44.9
DE21H,44.7
DE21I,44.4
DE21J,43.7
DE21K,46.7
DE21L,48.2
DE21M,47.4
DE21N,46.3
DE22,45.9
DE221,43.1
DE222,42.4
DE223,44.5
DE224,45.5
DE225,49.3
DE226,44.5
DE227,45.1
DE228,48.3
DE229,48.6
DE22A,46.7
DE22B,46.1
DE22C,44.5
DE23,45.4
DE231,46.4
DE232,38.8
DE233,46.1
DE234,47.6
DE235,47.3
DE236,45.2
DE237,47.3
DE238,45.9
DE239,46.2
DE23A,49.0
DE24,47.7
DE241,41.2
DE242,42.4
DE243,45.6
DE244,45.1
DE245,46.5
DE246,49.2
DE247,49.4
DE248,47.0
DE249,51.3
DE24A,51.4
DE24B,50.3
DE24C,48.7
DE24D,51.1
DE25,44.6
DE251,44.9
DE252,39.2
DE253,43.6
DE254,42.5
DE255,46.7
DE256,45.6
DE257,46.1
DE258,47.7
DE259,47.7
DE25A,46.8
DE25B,47.0
DE25C,46.7
DE26,46.6
DE261,44.5
DE262,44.2
DE263,39.2
DE264,48.0
DE265,49.9
DE266,48.1
DE267,47.4
DE268,46.2
DE269,47.5
DE26A,49.3
DE26B,47.4
DE26C,46.9
DE27,44.6
DE271,41.3
DE272,44.7
DE273,43.2
DE274,44.4
DE275,45.4
DE276,45.4
DE277,45.6
DE278,44.7
DE279,43.8
DE27A,47.4
DE27B,45.8
DE27C,45.2
DE27D,45.4
DE27E,47.5
DE3,41.3
DE30,41.3
DE300,41.3
DE4,49.9
DE40,49.9
DE401,49.1
DE402,48.1
DE403,49.6
DE404,42.8
DE405,49.2
DE406,48.7
DE407,54.4
DE408,48.7
DE409,50.5
DE40A,49.6
DE40B,53.6
DE40C,51.7
DE40D,52.3
DE40E,49.9
DE40F,53.8
DE40G,55.2
DE40H,47.5
DE40I,54.4
DE5,42.2
DE50,42.2
DE501,42.1
DE502,43.0
DE6,41.0
DE60,41.0
DE600,41.0
DE7,44.8
DE71,44.1
DE711,38.0
DE712,39.7
DE713,39.9
DE714,42.9
DE715,47.5
DE716,46.4
DE717,43.6
DE718,47.6
DE719,46.0
DE71A,46.1
DE71B,49.3
DE71C,45.0
DE71D,49.0
DE71E,46.5
DE72,45.1
DE721,41.9
DE722,46.7
DE723,46.9
DE724,43.5
DE725,50.5
DE73,47.1
DE731,41.4
DE732,45.4
DE733,49.0
DE734,49.5
DE735,48.5
DE736,48.4
DE737,50.6
DE8,50.9
DE80,50.9
DE803,44.9
DE804,47.8
DE80J,53.1
DE80K,51.2
DE80L,53.2
DE80M,50.5
DE80N,51.5
DE80O,51.7
DE9,46.3
DE91,46.5
DE911,43.1
DE912,44.7
DE913,43.8
DE914,46.4
DE916,51.7
DE917,48.5
DE918,50.8
DE91A,46.4
DE91B,49.4
DE91C,46.2
DE92,46.2
DE922,47.8
DE923,49.4
DE925,47.6
DE926,50.5
DE927,47.7
DE928,49.8
DE929,44.4
DE93,47.7
DE931,47.4
DE932,50.4
DE933,47.4
DE934,53.3
DE935,45.6
DE936,49.3
DE937,46.9
DE938,47.6
DE939,46.0
DE93A,50.4
DE93B,46.7
DE94,45.4
DE941,44.9
DE942,44.9
DE943,41.9
DE944,40.3
DE945,47.4
DE946,48.1
DE947,49.4
DE948,41.5
DE949,44.3
DE94A,51.0
DE94B,45.5
DE94C,46.5
DE94D,47.7
DE94E,46.6
DE94F,41.9
DE94G,49.0
DE94H,50.7
DEA,45.0
DEA1,45.2
DEA11,42.0
DEA12,43.1
DEA13,43.7
DEA14,45.6
DEA15,44.2
DEA16,46.7
DEA17,45.7
DEA18,45.7
DEA19,46.0
DEA1A,43.4
DEA1B,45.5
DEA1C,48.1
DEA1D,46.8
DEA1E,48.4
DEA1F,48.7
DEA2,44.3
DEA22,41.1
DEA23,41.3
DEA24,44.9
DEA26,45.6
DEA27,45.6
DEA28,47.2
DEA29,46.6
DEA2A,46.3
DEA2B,48.6
DEA2C,46.8
DEA2D,42.5
DEA3,45.0
DEA31,47.4
DEA32,42.8
DEA33,39.1
DEA34,44.6
DEA35,47.1
DEA36,47.3
DEA37,45.4
DEA38,46.5
DEA4,45.1
DEA41,42.2
DEA42,45.2
DEA43,46.8
DEA44,48.4
DEA45,46.5
DEA46,46.2
DEA47,43.0
DEA5,45.7
DEA51,44.0
DEA52,42.8
DEA53,44.1
DEA54,44.4
DEA55,44.9
DEA56,48.6
DEA57,48.0
DEA58,47.4
DEA59,46.4
DEA5A,45.4
DEA5B,47.1
DEA5C,47.8
DEB,46.3
DEB1,47.2
DEB11,42.4
DEB12,49.1
DEB13,47.0
DEB14,48.0
DEB15,48.5
DEB17,46.8
DEB18,46.7
DEB1A,48.2
DEB1B,46.9
DEB1C,50.3
DEB1D,48.0
DEB2,46.1
DEB21,40.8
DEB22,48.4
DEB23,46.1
DEB24,50.0
DEB25,46.8
DEB3,45.7
DEB31,45.5
DEB32,42.2
DEB33,42.3
DEB34,41.6
DEB35,38.7
DEB36,48.4
DEB37,47.5
DEB38,47.8
DEB39,43.5
DEB3A,46.7
DEB3B,46.6
DEB3C,50.4
DEB3D,48.6
DEB3E,45.7
DEB3F,46.9
DEB3G,50.0
DEB3H,49.5
DEB3I,47.8
DEB3J,47.5
DEB3K,51.9
DEC,48.1
DEC0,48.1
DEC01,45.5
DEC02,48.8
DEC03,48.9
DEC04,48.9
DEC05,49.9
DEC06,51.3
DED,48.4
DED2,48.4
DED21,42.0
DED2C,52.0
DED2D,53.9
DED2E,51.9
DED2F,51.0
DED4,51.8
DED41,46.9
DED42,53.2
DED43,52.0
DED44,53.7
DED45,52.4
DED5,44.1
DED51,39.8
DED52,51.1
DED53,50.8
DEE,51.1
DEE0,51.1
DEE01,54.3
DEE02,43.7
DEE03,44.0
DEE04,52.3
DEE05,53.0
DEE06,52.5
DEE07,50.9
DEE08,52.9
DEE09,53.7
DEE0A,55.1
DEE0B,51.1
DEE0C,53.2
DEE0D,52.8
DEE0E,54.2
DEF,47.5
DEF0,47.5
DEF01,41.1
DEF02,40.1
DEF03,45.8
DEF04,45.8
DEF05,50.2
DEF06,47.2
DEF07,49.7
DEF08,53.0
DEF09,46.9
DEF0A,51.6
DEF0B,49.1
DEF0C,49.2
DEF0D,46.7
DEF0E,48.8
DEF0F,48.1
DEG,50.4
DEG0,50.4
DEG01,44.4
DEG02,50.4
DEG03,41.5
DEG05,45.3
DEG06,49.4
DEG07,51.5
DEG09,50.8
DEG0A,53.3
DEG0C,50.4
DEG0D,50.9
DEG0E,51.8
DEG0G,49.9
DEG0J,51.5
DEG0K,52.9
DEG0L,55.1
DEG0M,54.6
DEG0Q,52.2
DEG0R,51.4
DEG0S,56.1
DEG0T,49.8
DEG0U,54.1
DEG0V,53.3
DK,42.1
DK0,42.1
DK01,38.8
DK011,34.2
DK012,40.4
DK013,47.2
DK014,53.2
DK02,47.0
DK021,44.2
DK022,48.2
DK03,44.8
DK031,44.1
DK032,45.2
DK04,41.1
DK041,45.3
DK042,39.2
DK05,44.2
DK050,44.2
EE,43.0
EE0,43.0
EE00,43.0
EE001,41.0
EE004,45.7
EE008,42.9
EE009,45.4
EE00A,50.6
EL,47.2
