code,value
AL,2363314.0
AL0,2363314.0
AL01,633710.0
AL011,104624.0
AL012,222999.0
AL013,60207.0
AL014,96384.0
AL015,149496.0
AL02,986944.0
AL021,226963.0
AL022,759981.0
AL03,742660.0
AL031,138926.0
AL032,233215.0
AL033,58456.0
AL034,168064.0
AL035,143999.0
AT,9197213.0
AT1,4057593.0
AT11,301790.0
AT111,37744.0
AT112,165805.0
AT113,98241.0
AT12,1727514.0
AT121,250792.0
AT122,268098.0
AT123,163040.0
AT124,215137.0
AT125,127215.0
AT126,346557.0
AT127,356675.0
AT13,2028289.0
AT130,2028289.0
AT2,1841811.0
AT21,570095.0
AT211,298721.0
AT212,123597.0
AT213,147777.0
AT22,1271716.0
AT221,469968.0
AT222,79579.0
AT223,156148.0
AT224,267391.0
AT225,200216.0
AT226,98414.0
AT3,3297809.0
AT31,1535519.0
AT311,299331.0
AT312,617181.0
AT313,215016.0
AT314,158848.0
AT315,245143.0
AT32,572846.0
AT321,20460.0
AT322,173404.0
AT323,378982.0
AT33,777660.0
AT331,33946.0
AT332,319242.0
AT333,49011.0
AT334,107718.0
AT335,267743.0
AT34,411784.0
AT341,95029.0
AT342,316755.0
BE,11883495.0
BE1,1271709.0
BE10,1271709.0
BE100,1271709.0
BE2,6884271.0
BE21,1947973.0
BE211,1101687.0
BE212,362480.0
BE213,483806.0
BE22,909455.0
BE223,211654.0
BE224,436040.0
BE225,261761.0
BE23,1586436.0
BE231,307873.0
BE232,208652.0
BE233,89887.0
BE234,583606.0
BE235,128922.0
BE236,267496.0
BE24,1205743.0
BE241,674772.0
BE242,530971.0
BE25,1234664.0
BE251,288078.0
BE252,52740.0
BE253,109063.0
BE254,304883.0
BE255,161284.0
BE256,160971.0
BE257,96253.0
BE258,61392.0
BE3,3727515.0
BE31,416504.0
BE310,416504.0
BE32,1369741.0
BE323,262177.0
BE328,228420.0
BE329,142964.0
BE32A,130872.0
BE32B,403346.0
BE32C,109221.0
BE32D,92741.0
BE33,1131687.0
BE331,116478.0
BE332,637220.0
BE334,84223.0
BE335,213760.0
BE336,80006.0
BE34,299812.0
BE341,66866.0
BE342,52244.0
BE343,58824.0
BE344,66634.0
BE345,55244.0
BE35,509771.0
BE351,114775.0
BE352,326860.0
BE353,68136.0
BG,6437360.0
BG3,3107886.0
BG31,655430.0
BG311,70542.0
BG312,112737.0
BG313,146002.0
BG314,215326.0
BG315,110823.0
BG32,673331.0
BG321,200413.0
BG322,93817.0
BG323,186093.0
BG324,99459.0
BG325,93549.0
BG33,826742.0
BG331,437521.0
BG332,145207.0
BG333,149279.0
BG334,94735.0
BG34,952383.0
BG341,388919.0
BG342,169299.0
BG343,105429.0
BG344,288736.0
BG4,3329474.0
BG41,2022982.0
BG411,1295931.0
BG412,224701.0
BG413,286333.0
BG414,109886.0
BG415,106131.0
BG42,1306492.0
BG421,635630.0
BG422,207356.0
BG423,223494.0
BG424,90534.0
BG425,149478.0
CH,9051029.0
CH0,9051029.0
CH01,1757496.0
CH011,855106.0
CH012,371288.0
CH013,531102.0
CH02,1962040.0
CH021,1071216.0
CH022,346674.0
CH023,289792.0
CH024,179518.0
CH025,74840.0
CH03,1238515.0
CH031,201384.0
CH032,301323.0
CH033,735808.0
CH04,1620020.0
CH040,1620020.0
CH05,1250159.0
CH051,42371.0
CH052,88667.0
CH053,56705.0
CH054,16733.0
CH055,540036.0
CH056,206138.0
CH057,299509.0
CH06,863896.0
CH061,437944.0
CH062,38275.0
CH063,168931.0
CH064,39662.0
CH065,45345.0
CH066,133739.0
CH07,358903.0
CH070,358903.0
CY,982966.0
CY0,982966.0
CY00,982966.0
CY000,982966.0
CZ,10909500.0
CZ0,10909500.0
CZ01,1397880.0
CZ010,1397880.0
CZ02,1466215.0
CZ020,1466215.0
CZ03,1267867.0
CZ031,653227.0
CZ032,614640.0
CZ04,1101551.0
CZ041,293195.0
CZ042,808356.0
CZ05,1535886.0
CZ051,449494.0
CZ052,555923.0
CZ053,530469.0
CZ06,1746990.0
CZ063,517647.0
CZ064,1229343.0
CZ07,1210498.0
CZ071,631500.0
CZ072,578998.0
CZ08,1182613.0
CZ080,1182613.0
DE,83577140.0
DE1,11245898.0
DE11,4167550.0
DE111,612663.0
DE112,395167.0
DE113,536601.0
DE114,258809.0
DE115,535374.0
DE116,440696.0
DE117,131986.0
DE118,353877.0
DE119,115644.0
DE11A,200902.0
DE11B,133169.0
DE11C,135235.0
DE11D,317427.0
DE12,2848413.0
DE121,56881.0
DE122,309050.0
DE123,456264.0
DE124,230737.0
DE125,155756.0
DE126,318035.0
DE127,145263.0
DE128,558561.0
DE129,134912.0
DE12A,161251.0
DE12B,199745.0
DE12C,121958.0
DE13,2325856.0
DE131,237460.0
DE132,272558.0
DE133,169787.0
DE134,444858.0
DE135,140237.0
DE136,214065.0
DE137,145208.0
DE138,291841.0
DE139,238263.0
DE13A,171579.0
DE14,1904079.0
DE141,293483.0
DE142,233546.0
DE143,193326.0
DE144,129882.0
DE145,202354.0
DE146,207415.0
DE147,220804.0
DE148,291102.0
DE149,132167.0
DE2,13248928.0
DE21,4764548.0
DE211,141185.0
DE212,1505005.0
DE213,65274.0
DE214,113938.0
DE215,105292.0
DE216,130248.0
DE217,153595.0
DE218,144225.0
DE219,135668.0
DE21A,140127.0
DE21B,184564.0
DE21C,218227.0
DE21D,89296.0
DE21E,122107.0
DE21F,97152.0
DE21G,122037.0
DE21H,354396.0
DE21I,99364.0
DE21J,130781.0
DE21K,258637.0
DE21L,139329.0
DE21M,175144.0
DE21N,138957.0
DE22,1259204.0
DE221,71863.0
DE222,53039.0
DE223,49002.0
DE224,121844.0
DE225,78710.0
DE226,126037.0
DE227,162170.0
DE228,194699.0
DE229,77267.0
DE22A,120497.0
DE22B,103041.0
DE22C,101035.0
DE23,1121379.0
DE231,42553.0
DE232,151389.0
DE233,42444.0
DE234,103982.0
DE235,128534.0
DE236,138693.0
DE237,96049.0
DE238,196213.0
DE239,149312.0
DE23A,72210.0
DE24,1055758.0
DE241,77150.0
DE242,72940.0
DE243,41064.0
DE244,46778.0
DE245,147777.0
DE246,103215.0
DE247,84468.0
DE248,116184.0
DE249,92191.0
DE24A,64545.0
DE24B,71518.0
DE24C,67379.0
DE24D,70549.0
DE25,1795909.0
DE251,40742.0
DE252,115928.0
DE253,132036.0
DE254,529508.0
DE255,40835.0
DE256,187633.0
DE257,138325.0
DE258,117719.0
DE259,168813.0
DE25A,101043.0
DE25B,128632.0
DE25C,94695.0
DE26,1318817.0
DE261,73091.0
DE262,54481.0
DE263,133258.0
DE264,170945.0
DE265,103489.0
DE266,79375.0
DE267,83869.0
DE268,91287.0
DE269,127547.0
DE26A,125282.0
DE26B,113977.0
DE26C,162216.0
DE27,1933313.0
DE271,301105.0
DE272,46193.0
DE273,67645.0
DE274,44192.0
DE275,136803.0
DE276,262811.0
DE277,98899.0
DE278,129846.0
DE279,183595.0
DE27A,82411.0
DE27B,142047.0
DE27C,147255.0
DE27D,135098.0
DE27E,155413.0
DE3,3685265.0
DE30,3685265.0
DE300,3685265.0
DE4,2556747.0
DE40,2556747.0
DE401,74113.0
DE402,95123.0
DE403,57107.0
DE404,184754.0
DE405,194169.0
DE406,178793.0
DE407,97967.0
DE408,170834.0
DE409,197817.0
DE40A,217690.0
DE40B,107793.0
DE40C,179817.0
DE40D,99152.0
DE40E,221268.0
DE40F,75595.0
DE40G,109635.0
DE40H,177688.0
DE40I,117432.0
DE5,704881.0
DE50,704881.0
DE501,586271.0
DE502,118610.0
DE6,1862565.0
DE60,1862565.0
DE600,1862565.0
DE7,6280793.0
DE71,4039611.0
DE711,167029.0
DE712,756021.0
DE713,132746.0
DE714,288850.0
DE715,274169.0
DE716,302021.0
DE717,268310.0
DE718,241664.0
DE719,420914.0
DE71A,238775.0
DE71B,93846.0
DE71C,358022.0
DE71D,185651.0
DE71E,311593.0
DE72,1040290.0
DE721,268418.0
DE722,254074.0
DE723,173830.0
DE724,242805.0
DE725,101163.0
DE73,1200892.0
DE731,197230.0
DE732,222283.0
DE733,117414.0
DE734,231073.0
DE735,180071.0
DE736,155126.0
DE737,97695.0
DE8,1573597.0
DE80,1573597.0
DE803,205307.0
DE804,98308.0
DE80J,246318.0
DE80K,218721.0
DE80L,215203.0
DE80M,156692.0
DE80N,224956.0
DE80O,208092.0
DE9,8004489.0
DE91,1589423.0
DE911,252962.0
DE912,104970.0
DE913,129560.0
DE914,175943.0
DE916,126775.0
DE917,90227.0
DE918,125623.0
DE91A,137045.0
DE91B,118290.0
DE91C,328028.0
DE92,2123689.0
DE922,221202.0
DE923,150203.0
DE925,267506.0
DE926,65581.0
DE927,121468.0
DE928,156841.0
DE929,1140888.0
DE93,1721892.0
DE931,172449.0
DE932,198842.0
DE933,265864.0
DE934,46502.0
DE935,179448.0
DE936,113598.0
DE937,165904.0
DE938,141321.0
DE939,207700.0
DE93A,91638.0
DE93B,138626.0
DE94,2569485.0
DE941,81406.0
DE942,49202.0
DE943,176614.0
DE944,166057.0
DE945,75745.0
DE946,127751.0
DE947,188816.0
DE948,177025.0
DE949,334539.0
DE94A,100411.0
DE94B,144543.0
DE94C,169103.0
DE94D,132008.0
DE94E,354821.0
DE94F,146539.0
DE94G,88936.0
DE94H,55969.0
DEA,18034454.0
DEA1,5244379.0
DEA11,618685.0
DEA12,502270.0
DEA13,574682.0
DEA14,231406.0
DEA15,267213.0
DEA16,173050.0
DEA17,213646.0
DEA18,113828.0
DEA19,165626.0
DEA1A,358193.0
DEA1B,322018.0
DEA1C,490910.0
DEA1D,457077.0
DEA1E,297857.0
DEA1F,457918.0
DEA2,4486282.0
DEA22,323336.0
DEA23,1024621.0
DEA24,168581.0
DEA26,279285.0
DEA27,477988.0
DEA28,202609.0
DEA29,263681.0
DEA2A,274057.0
DEA2B,284273.0
DEA2C,605441.0
DEA2D,582410.0
DEA3,2659034.0
DEA31,118535.0
DEA32,267930.0
DEA33,308258.0
DEA34,380796.0
DEA35,227859.0
DEA36,621305.0
DEA37,451712.0
DEA38,282639.0
DEA4,2072861.0
DEA41,331605.0
DEA42,363982.0
DEA43,254404.0
DEA44,139252.0
DEA45,347149.0
DEA46,320557.0
DEA47,315912.0
DEA5,3571898.0
DEA51,358676.0
DEA52,603462.0
DEA53,190384.0
DEA54,179968.0
DEA55,155851.0
DEA56,314167.0
DEA57,260843.0
DEA58,408046.0
DEA59,132346.0
DEA5A,274074.0
DEA5B,300297.0
DEA5C,393784.0
DEB,4129569.0
DEB1,1530208.0
DEB11,113378.0
DEB12,129353.0
DEB13,132125.0
DEB14,164748.0
DEB15,82611.0
DEB17,217228.0
DEB18,189061.0
DEB1A,125588.0
DEB1B,207803.0
DEB1C,61608.0
DEB1D,106705.0
DEB2,525583.0
DEB21,104342.0
DEB22,113187.0
DEB23,99788.0
DEB24,59313.0
DEB25,148953.0
DEB3,2073778.0
DEB31,48140.0
DEB32,100426.0
DEB33,48209.0
DEB34,177222.0
DEB35,224684.0
DEB36,52945.0
DEB37,39761.0
DEB38,49564.0
DEB39,86753.0
DEB3A,33323.0
DEB3B,131238.0
DEB3C,134329.0
DEB3D,74783.0
DEB3E,131383.0
DEB3F,106343.0
DEB3G,69334.0
DEB3H,113031.0
DEB3I,155882.0
DEB3J,206454.0
DEB3K,89974.0
DEC,1012141.0
DEC0,1012141.0
DEC01,333149.0
DEC02,108779.0
DEC03,133179.0
DEC04,205129.0
DEC05,144092.0
DEC06,87813.0
DED,4042422.0
DED2,1584687.0
DED21,564904.0
DED2C,292608.0
DED2D,243958.0
DED2E,239221.0
DED2F,243996.0
DED4,1386336.0
DED41,245618.0
DED42,318394.0
DED43,296431.0
DED44,219100.0
DED45,306793.0
DED5,1071399.0
DED51,611850.0
DED52,260127.0
DED53,199422.0
DEE,2135597.0
DEE0,2135597.0
DEE01,75402.0
DEE02,226767.0
DEE03,244329.0
DEE04,79980.0
DEE05,153035.0
DEE06,88509.0
DEE07,167924.0
DEE08,173684.0
DEE09,205484.0
DEE0A,129029.0
DEE0B,182451.0
DEE0C,180771.0
DEE0D,106538.0
DEE0E,121694.0
DEF,2959517.0
DEF0,2959517.0
DEF01,96326.0
DEF02,252668.0
DEF03,216889.0
DEF04,79809.0
DEF05,133460.0
DEF06,206235.0
DEF07,170029.0
DEF08,201472.0
DEF09,325223.0
DEF0A,130609.0
DEF0B,278058.0
DEF0C,205472.0
DEF0D,283562.0
DEF0E,132731.0
DEF0F,246974.0
DEG,2100277.0
DEG0,2100277.0
DEG01,218793.0
DEG02,95608.0
DEG03,109725.0
DEG05,65954.0
DEG06,103694.0
DEG07,80762.0
DEG09,94613.0
DEG0A,71738.0
DEG0C,135838.0
DEG0D,67693.0
DEG0E,59987.0
DEG0G,82392.0
DEG0J,83342.0
DEG0K,77341.0
DEG0L,93707.0
DEG0M,87508.0
DEG0Q,120214.0
DEG0R,154957.0
DEG0S,34685.0
DEG0T,106657.0
DEG0U,100105.0
DEG0V,54964.0
DK,5992734.0
DK0,5992734.0
DK01,1930793.0
DK011,831423.0
DK012,582097.0
DK013,478217.0
DK014,39056.0
DK02,854902.0
DK021,262820.0
DK022,592082.0
DK03,1240472.0
DK031,507349.0
DK032,733123.0
DK04,1373799.0
DK041,428776.0
DK042,945023.0
DK05,592768.0
DK050,592768.0
EE,1369995.0
EE0,1369995.0
EE00,1369995.0
EE001,647024.0
EE004,148255.0
EE008,321690.0
EE009,122870.0
EE00A,130156.0
EFTA,15075699.0
EL,10372335.0
EL3,3764272.0
EL30,3764272.0
EL301,592494.0
EL302,462105.0
EL303,977993.0
EL304,516991.0
EL305,536875.0
EL306,164369.0
EL307,513445.0
EL4,1156084.0
EL41,207927.0
EL411,112520.0
EL412,43010.0
EL413,52397.0
EL42,327036.0
EL421,211087.0
EL422,115949.0
EL43,621121.0
EL431,301598.0
EL432,77131.0
EL433,85716.0
EL434,156676.0
EL5,2905231.0
EL51,565195.0
EL511,136419.0
EL512,107954.0
EL513,106838.0
EL514,89067.0
EL515,124917.0
EL52,1772400.0
EL521,129663.0
EL522,1081843.0
EL523,69858.0
EL524,120515.0
EL525,115101.0
EL526,154728.0
EL527,100692.0
EL53,243575.0
EL531,156828.0
EL532,43827.0
EL533,42920.0
EL54,324061.0
EL541,115007.0
EL542,40170.0
EL543,168884.0
EL6,2546748.0
EL61,676040.0
EL611,222314.0
EL612,266074.0
EL613,187652.0
EL62,198421.0
EL621,40121.0
EL622,97697.0
EL623,38451.0
EL624,22152.0
EL63,635954.0
EL631,183720.0
EL632,299689.0
EL633,152545.0
EL64,507168.0
EL641,108187.0
EL642,211850.0
EL643,17532.0
EL644,132394.0
EL645,37205.0
EL65,529165.0
EL651,166075.0
EL652,136714.0
EL653,226376.0
ES,49128297.0
ES1,4323492.0
ES11,2714741.0
ES111,1135623.0
ES112,326022.0
ES113,305278.0
ES114,947818.0
ES12,1015128.0
ES120,1015128.0
ES13,593623.0
ES130,593623.0
ES2,4617621.0
ES21,2242343.0
ES211,341961.0
ES212,733149.0
ES213,1167233.0
ES22,683854.0
ES220,683854.0
ES23,326803.0
ES230,326803.0
ES24,1364621.0
ES241,230087.0
ES242,136091.0
ES243,998443.0
ES3,7113886.0
ES30,7113886.0
ES300,7113886.0
ES4,5580944.0
ES41,2401221.0
ES411,160738.0
ES412,362663.0
ES413,448030.0
ES414,158702.0
ES415,328446.0
ES416,158251.0
ES417,90183.0
ES418,528644.0
ES419,165564.0
ES42,2126378.0
ES421,390751.0
ES422,494848.0
ES423,199859.0
ES424,285839.0
ES425,755081.0
ES43,1053345.0
ES431,665155.0
ES432,388190.0
ES5,14799152.0
ES51,8124126.0
ES511,5959941.0
ES512,830429.0
ES513,458226.0
ES514,875530.0
ES52,5425182.0
ES521,2033566.0
ES522,627620.0
ES523,2763996.0
ES53,1249844.0
ES531,175955.0
ES532,971068.0
ES533,102821.0
ES6,10434336.0
ES61,8676713.0
ES611,770554.0
