code,value
AL,1194597.0
AL0,1194597.0
AL01,317141.0
AL011,51967.0
AL012,111187.0
AL013,29988.0
AL014,48238.0
AL015,75761.0
AL02,506383.0
AL021,113501.0
AL022,392882.0
AL03,371073.0
AL031,70226.0
AL032,116336.0
AL033,28999.0
AL034,83340.0
AL035,72172.0
AT,4664333.0
AT1,2065600.0
AT11,154174.0
AT111,19165.0
AT112,84934.0
AT113,50075.0
AT12,877327.0
AT121,125547.0
AT122,136569.0
AT123,82530.0
AT124,108434.0
AT125,64348.0
AT126,176825.0
AT127,183074.0
AT13,1034099.0
AT130,1034099.0
AT2,934826.0
AT21,291416.0
AT211,153945.0
AT212,62798.0
AT213,74673.0
AT22,643410.0
AT221,237644.0
AT222,40586.0
AT223,79428.0
AT224,134566.0
AT225,101299.0
AT226,49887.0
AT3,1663907.0
AT31,771102.0
AT311,148935.0
AT312,311685.0
AT313,106707.0
AT314,79857.0
AT315,123918.0
AT32,292359.0
AT321,10312.0
AT322,87931.0
AT323,194116.0
AT33,393658.0
AT331,17118.0
AT332,161996.0
AT333,24771.0
AT334,54274.0
AT335,135499.0
AT34,206788.0
AT341,47375.0
AT342,159413.0
BE,6012626.0
BE1,645100.0
BE10,645100.0
BE100,645100.0
BE2,3470093.0
BE21,979060.0
BE211,553706.0
BE212,183876.0
BE213,241478.0
BE22,455734.0
BE223,106121.0
BE224,219484.0
BE225,130129.0
BE23,800849.0
BE231,156523.0
BE232,105620.0
BE233,44916.0
BE234,293792.0
BE235,65088.0
BE236,134910.0
BE24,613426.0
BE241,344674.0
BE242,268752.0
BE25,621024.0
BE251,145771.0
BE252,26337.0
BE253,54470.0
BE254,153630.0
BE255,81381.0
BE256,80338.0
BE257,47895.0
BE258,31202.0
BE3,1897433.0
BE31,214496.0
BE310,214496.0
BE32,699846.0
BE323,134781.0
BE328,115824.0
BE329,73513.0
BE32A,66520.0
BE32B,206354.0
BE32C,55762.0
BE32D,47092.0
BE33,574958.0
BE331,59144.0
BE332,324460.0
BE334,42952.0
BE335,108239.0
BE336,40163.0
BE34,149774.0
BE341,33267.0
BE342,25914.0
BE343,29273.0
BE344,33312.0
BE345,28008.0
BE35,258359.0
BE351,57783.0
BE352,166324.0
BE353,34252.0
BG,3342220.0
BG3,1614742.0
BG31,339701.0
BG311,36757.0
BG312,58238.0
BG313,75383.0
BG314,112098.0
BG315,57225.0
BG32,351511.0
BG321,104872.0
BG322,49313.0
BG323,97031.0
BG324,51804.0
BG325,48491.0
BG33,429041.0
BG331,227406.0
BG332,75872.0
BG333,76996.0
BG334,48767.0
BG34,494489.0
BG341,202477.0
BG342,87629.0
BG343,54366.0
BG344,150017.0
BG4,1727478.0
BG41,1050374.0
BG411,675388.0
BG412,114899.0
BG413,147445.0
BG414,57419.0
BG415,55223.0
BG42,677104.0
BG421,332422.0
BG422,106565.0
BG423,114757.0
BG424,47253.0
BG425,76107.0
CH,4550640.0
CH0,4550640.0
CH01,894202.0
CH011,434228.0
CH012,185804.0
CH013,274170.0
CH02,991495.0
CH021,544742.0
CH022,173069.0
CH023,144637.0
CH024,91299.0
CH025,37748.0
CH03,621343.0
CH031,103110.0
CH032,153451.0
CH033,364782.0
CH04,811185.0
CH040,811185.0
CH05,620707.0
CH051,20959.0
CH052,44560.0
CH053,28148.0
CH054,8145.0
CH055,268284.0
CH056,102337.0
CH057,148274.0
CH06,427817.0
CH061,219103.0
CH062,18743.0
CH063,82236.0
CH064,19614.0
CH065,22142.0
CH066,65979.0
CH07,183891.0
CH070,183891.0
CY,498765.0
CY0,498765.0
CY00,498765.0
CY000,498765.0
CZ,5554921.0
CZ0,5554921.0
CZ01,718718.0
CZ010,718718.0
CZ02,745405.0
CZ020,745405.0
CZ03,643364.0
CZ031,331223.0
CZ032,312141.0
CZ04,560270.0
CZ041,150226.0
CZ042,410044.0
CZ05,779381.0
CZ051,228795.0
CZ052,282554.0
CZ053,268032.0
CZ06,887235.0
CZ063,260431.0
CZ064,626804.0
CZ07,617523.0
CZ071,322647.0
CZ072,294876.0
CZ08,603025.0
CZ080,603025.0
DE,42335439.0
DE1,5666400.0
DE11,2093021.0
DE111,307938.0
DE112,198878.0
DE113,269118.0
DE114,130412.0
DE115,270937.0
DE116,222435.0
DE117,65153.0
DE118,176765.0
DE119,57314.0
DE11A,100114.0
DE11B,66628.0
DE11C,67815.0
DE11D,159514.0
DE12,1433833.0
DE121,29774.0
DE122,152055.0
DE123,228624.0
DE124,115957.0
DE125,81159.0
DE126,158789.0
DE127,72444.0
DE128,284050.0
DE129,68494.0
DE12A,80859.0
DE12B,100648.0
DE12C,60980.0
DE13,1179553.0
DE131,124413.0
DE132,138335.0
DE133,85808.0
DE134,222722.0
DE135,70097.0
DE136,108052.0
DE137,72346.0
DE138,149725.0
DE139,121204.0
DE13A,86851.0
DE14,959993.0
DE141,148121.0
DE142,120423.0
DE143,97662.0
DE144,65795.0
DE145,100646.0
DE146,102881.0
DE147,112226.0
DE148,146238.0
DE149,66001.0
DE2,6678150.0
DE21,2407676.0
DE211,69394.0
DE212,767563.0
DE213,32922.0
DE214,57384.0
DE215,53783.0
DE216,65944.0
DE217,76836.0
DE218,72265.0
DE219,67051.0
DE21A,69782.0
DE21B,90256.0
DE21C,111295.0
DE21D,46422.0
DE21E,61404.0
DE21F,49433.0
DE21G,60284.0
DE21H,179059.0
DE21I,49498.0
DE21J,64437.0
DE21K,131385.0
DE21L,71931.0
DE21M,89026.0
DE21N,70322.0
DE22,628952.0
DE221,36621.0
DE222,27103.0
DE223,24209.0
DE224,60742.0
DE225,39613.0
DE226,62207.0
DE227,80618.0
DE228,98099.0
DE229,38802.0
DE22A,60489.0
DE22B,51425.0
DE22C,49024.0
DE23,561573.0
DE231,21663.0
DE232,76789.0
DE233,21813.0
DE234,52024.0
DE235,63913.0
DE236,68482.0
DE237,48093.0
DE238,98030.0
DE239,74449.0
DE23A,36317.0
DE24,534139.0
DE241,39328.0
DE242,37081.0
DE243,21041.0
DE244,23685.0
DE245,73945.0
DE246,51979.0
DE247,42564.0
DE248,58476.0
DE249,47017.0
DE24A,32511.0
DE24B,36178.0
DE24C,34152.0
DE24D,36182.0
DE25,908767.0
DE251,20988.0
DE252,58256.0
DE253,66996.0
DE254,269150.0
DE255,20903.0
DE256,93574.0
DE257,69740.0
DE258,60519.0
DE259,85930.0
