code,value
AL,1366921.0
AL0,1366921.0
AL01,385558.0
AL011,55350.0
AL012,146040.0
AL013,36715.0
AL014,56017.0
AL015,91436.0
AL02,579456.0
AL021,124249.0
AL022,455207.0
AL03,401907.0
AL031,55061.0
AL032,135568.0
AL033,25407.0
AL034,94488.0
AL035,91383.0
AT,4484815.0
AT1,1961869.0
AT11,147513.0
AT111,18561.0
AT112,80703.0
AT113,48249.0
AT12,845231.0
AT121,124969.0
AT122,130716.0
AT123,79144.0
AT124,107228.0
AT125,63022.0
AT126,167855.0
AT127,172297.0
AT13,969125.0
AT130,969125.0
AT2,903986.0
AT21,278471.0
AT211,144063.0
AT212,60965.0
AT213,73443.0
AT22,625515.0
AT221,228039.0
AT222,39011.0
AT223,78037.0
AT224,133021.0
AT225,98561.0
AT226,48846.0
AT3,1618960.0
AT31,757943.0
AT311,148882.0
AT312,301418.0
AT313,107863.0
AT314,78681.0
AT315,121099.0
AT32,278190.0
AT321,10097.0
AT322,84999.0
AT323,183094.0
AT33,380637.0
AT331,16670.0
AT332,155608.0
AT333,24163.0
AT334,53256.0
AT335,130940.0
AT34,202190.0
AT341,47261.0
AT342,154929.0
BE,5796147.0
BE1,617712.0
BE10,617712.0
BE100,617712.0
BE2,3362950.0
BE21,951704.0
BE211,536945.0
BE212,175690.0
BE213,239069.0
BE22,448147.0
BE223,104264.0
BE224,213691.0
BE225,130192.0
BE23,773438.0
BE231,148663.0
BE232,101678.0
BE233,44462.0
BE234,285374.0
BE235,63052.0
BE236,130209.0
BE24,583170.0
BE241,324923.0
BE242,258247.0
BE25,606491.0
BE251,141141.0
BE252,26310.0
BE253,54132.0
BE254,148480.0
BE255,78926.0
BE256,78987.0
BE257,47874.0
BE258,30641.0
BE3,1815485.0
BE31,200863.0
BE310,200863.0
BE32,664611.0
BE323,126600.0
BE328,111839.0
BE329,69293.0
BE32A,63818.0
BE32B,194730.0
BE32C,52691.0
BE32D,45640.0
BE33,551320.0
BE331,56953.0
BE332,308929.0
BE334,41093.0
BE335,104604.0
BE336,39741.0
BE34,149141.0
BE341,33076.0
BE342,26125.0
BE343,29614.0
BE344,33105.0
BE345,27221.0
BE35,249550.0
BE351,56779.0
BE352,158962.0
BE353,33809.0
BG,3099503.0
BG3,1506050.0
BG31,324311.0
BG311,34935.0
