il_kodu,il_adi,ilce_kodu,ilce_adi,toplam_nufus,erkek_nufus,kadin_nufus,veri_yili
1,Adana,1.12,Seyhan,782204,388700,393504,2025
1,Adana,1.15,Yüreğir,396572,198950,197622,2025
1,Adana,1.3,Çukurova,380653,182261,198392,2025
1,Adana,1.11,Sarıçam,263080,137418,125662,2025
1,Adana,1.2,Ceyhan,156081,78366,77715,2025
1,Adana,1.8,Kozan,132572,66636,65936,2025
1,Adana,1.5,İmamoğlu,27196,13758,13438,2025
1,Adana,1.7,Karataş,24005,12239,11766,2025
1,Adana,1.6,Karaisalı,22872,11828,11044,2025
1,Adana,1.9,Pozantı,19983,10398,9585,2025
1,Adana,1.14,Yumurtalık,17806,9222,8584,2025
1,Adana,1.13,Tufanbeyli,16027,8288,7739,2025
1,Adana,1.1,Aladağ,15839,8321,7518,2025
1,Adana,1.4,Feke,15586,8290,7296,2025
1,Adana,1.10,Saimbeyli,13133,6939,6194,2025
2,Adıyaman,2.1,Adıyaman merkez,296876,149745,147131,2025
2,Adıyaman,2.6,Kahta,136769,69579,67190,2025
2,Adıyaman,2.2,Besni,75398,38140,37258,2025
2,Adıyaman,2.5,Gölbaşı,47917,24190,23727,2025
2,Adıyaman,2.8,Sincik,15801,8058,7743,2025
2,Adıyaman,2.3,Çelikhan,14530,7467,7063,2025
2,Adıyaman,2.4,Gerger,14497,7398,7099,2025
2,Adıyaman,2.9,Tut,9199,4764,4435,2025
2,Adıyaman,2.7,Samsat,6834,3540,3294,2025
3,Afyonkarahisar,3.1,Afyonkarahisar (Merkez İlçe),331982,165935,166047,2025
3,Afyonkarahisar,3.15,Sandıklı,54376,26449,27927,2025
3,Afyonkarahisar,3.8,Dinar,46878,23505,23373,2025
3,Afyonkarahisar,3.4,Bolvadin,45906,24198,21708,2025
3,Afyonkarahisar,3.9,Emirdağ,43350,22140,21210,2025
3,Afyonkarahisar,3.16,Sinanpaşa,38292,19162,19130,2025
3,Afyonkarahisar,3.18,Şuhut,35303,17551,17752,2025
3,Afyonkarahisar,3.5,Çay,29140,14339,14801,2025
3,Afyonkarahisar,3.12,İhsaniye,27636,14002,13634,2025
3,Afyonkarahisar,3.13,İscehisar,25220,12823,12397,2025
3,Afyonkarahisar,3.6,Çobanlar,14457,7295,7162,2025
3,Afyonkarahisar,3.17,Sultandağı,13641,6585,7056,2025
3,Afyonkarahisar,3.7,Dazkırı,11723,5909,5814,2025
3,Afyonkarahisar,3.2,Başmakçı,9089,4551,4538,2025
3,Afyonkarahisar,3.11,Hocalar,8220,4099,4121,2025
3,Afyonkarahisar,3.3,Bayat,7580,3774,3806,2025
3,Afyonkarahisar,3.10,Evciler,7038,3540,3498,2025
3,Afyonkarahisar,3.14,Kızılören,1977,945,1032,2025
4,Ağrı,4.1,Ağrı merkez,150035,75817,74218,2025
4,Ağrı,4.3,Doğubayazıt,113699,59355,54344,2025
4,Ağrı,4.6,Patnos,105968,56233,49735,2025
4,Ağrı,4.2,Diyadin,35439,18444,16995,2025
4,Ağrı,4.4,Eleşkirt,28661,14510,14151,2025
4,Ağrı,4.8,Tutak,25920,13368,12552,2025
4,Ağrı,4.7,Taşlıçay,17431,8994,8437,2025
4,Ağrı,4.5,Hamur,14336,7502,6834,2025
5,Aksaray,5.2,Aksaray merkez,327575,163049,164526,2025
5,Aksaray,5.6,Ortaköy,31089,15311,15778,2025
5,Aksaray,5.3,Eskil,27946,14300,13646,2025
5,Aksaray,5.4,Gülağaç,19099,9696,9403,2025
5,Aksaray,5.8,Sultanhanı,12811,6649,6162,2025
5,Aksaray,5.5,Güzelyurt,10419,5277,5142,2025
5,Aksaray,5.1,Ağaçören,7480,3779,3701,2025
5,Aksaray,5.7,Sarıyahşi,4717,2380,2337,2025
6,Amasya,6.1,Amasya merkez,151433,77218,74215,2025
6,Amasya,6.5,Merzifon,77077,38099,38978,2025
6,Amasya,6.6,Suluova,46928,23299,23629,2025
6,Amasya,6.7,Taşova,30034,14803,15231,2025
6,Amasya,6.3,Gümüşhacıköy,22319,11406,10913,2025
6,Amasya,6.2,Göynücek,10823,5528,5295,2025
6,Amasya,6.4,Hamamözü,3628,1749,1879,2025
7,Ankara,7.7,Çankaya,952198,454348,497850,2025
7,Ankara,7.17,Keçiören,931722,453877,477845,2025
7,Ankara,7.25,Yenimahalle,721531,348199,373332,2025
7,Ankara,7.19,Mamak,690329,340882,349447,2025
7,Ankara,7.10,Etimesgut,632458,311010,321448,2025
7,Ankara,7.23,Sincan,605366,311371,293995,2025
7,Ankara,7.2,Altındağ,418072,209138,208934,2025
7,Ankara,7.12,Gölbaşı,172810,87854,84956,2025
7,Ankara,7.22,Pursaklar,168881,83688,85193,2025
7,Ankara,7.21,Polatlı,131894,65902,65992,2025
7,Ankara,7.8,Çubuk,101437,49585,51852,2025
7,Ankara,7.15,Kahramankazan,63143,32478,30665,2025
7,Ankara,7.5,Beypazarı,48359,24071,24288,2025
7,Ankara,7.1,Akyurt,46956,23287,23669,2025
7,Ankara,7.9,Elmadağ,45644,22913,22731,2025
7,Ankara,7.24,Şereflikoçhisar,32831,16437,16394,2025
7,Ankara,7.18,Kızılcahamam,27841,14234,13607,2025
7,Ankara,7.20,Nallıhan,26083,13016,13067,2025
7,Ankara,7.14,Haymana,25798,13602,12196,2025
7,Ankara,7.4,Bala,20109,11083,9026,2025
7,Ankara,7.3,Ayaş,13136,6993,6143,2025
7,Ankara,7.16,Kalecik,12564,6769,5795,2025
7,Ankara,7.6,Çamlıdere,10203,5536,4667,2025
7,Ankara,7.13,Güdül,8028,4108,3920,2025
7,Ankara,7.11,Evren,2927,1472,1455,2025
8,Antalya,8.13,Kepez,649102,328855,320247,2025
8,Antalya,8.18,Muratpaşa,510887,248323,262564,2025
8,Antalya,8.3,Alanya,371547,187937,183610,2025
8,Antalya,8.17,Manavgat,266480,137240,129240,2025
8,Antalya,8.14,Konyaaltı,199414,94717,104697,2025
8,Antalya,8.19,Serik,147062,74795,72267,2025
8,Antalya,8.5,Döşemealtı,97121,51506,45615,2025
8,Antalya,8.2,Aksu,87070,44515,42555,2025
8,Antalya,8.16,Kumluca,75588,38154,37434,2025
8,Antalya,8.11,Kaş,63957,33024,30933,2025
8,Antalya,8.15,Korkuteli,58381,29384,28997,2025
8,Antalya,8.8,Gazipaşa,55850,28161,27689,2025
8,Antalya,8.7,Finike,52436,26287,26149,2025
8,Antalya,8.12,Kemer,52339,26978,25361,2025
8,Antalya,8.6,Elmalı,41550,21993,19557,2025
8,Antalya,8.4,Demre,28075,14401,13674,2025
8,Antalya,8.1,Akseki,10609,5570,5039,2025
8,Antalya,8.9,Gündoğmuş,6953,3473,3480,2025
8,Antalya,8.10,İbradi,3256,1701,1555,2025
9,Ardahan,9.1,Ardahan merkez,42136,21701,20435,2025
9,Ardahan,9.4,Göle,22038,11539,10499,2025
9,Ardahan,9.2,Çıldır,8048,4226,3822,2025
9,Ardahan,9.5,Hanak,7668,4041,3627,2025
9,Ardahan,9.6,Posof,5976,3132,2844,2025
9,Ardahan,9.3,Damal,4526,2420,2106,2025
10,Artvin,10.3,Artvin Merkez,35710,17366,18344,2025
